"PLANT","SOURCE","EQUIPMENT_PATH","EQUIPMENT_NAME","PLANT_HIERARCHY"
"Geel","Custom SQL UAT [Geel]","\Geel\Equipment\Plant 1 Equipment\DCS001\","DSP",""
"Geel","Custom SQL UAT [Geel]","\Geel\Equipment\Plant 1 Equipment\DCS001\","USP",""
"Geel","Custom SQL UAT [Geel]","\Geel\Equipment\Plant 1 Equipment\DCS001\DSP\","CHR-010",""
"Geel","Custom SQL UAT [Geel]","\Geel\Equipment\Plant 1 Equipment\DCS001\DSP\","CHR-012",""
"Geel","Custom SQL UAT [Geel]","\Geel\Equipment\Plant 1 Equipment\DCS001\DSP\","CHR-013",""
"Geel","Custom SQL UAT [Geel]","\Geel\Equipment\Plant 1 Equipment\DCS001\DSP\","FIL-028",""
"Geel","Custom SQL UAT [Geel]","\Geel\Equipment\Plant 1 Equipment\DCS001\DSP\","PRO-021",""
"Geel","Custom SQL UAT [Geel]","\Geel\Equipment\Plant 1 Equipment\DCS001\DSP\","PRO-023",""
"Geel","Custom SQL UAT [Geel]","\Geel\Equipment\Plant 1 Equipment\DCS001\DSP\","PRO-024",""
"Geel","Custom SQL UAT [Geel]","\Geel\Equipment\Plant 1 Equipment\DCS001\DSP\","PRO-026",""
